videoId,title,publishTime,viewCount,commentCount
IstyL9vnybg,"Positioned as the hardest question on a Putnam exam  (#6, 1992)",2024-01-12 07:00:13+00:00,257917,136
xIMlJUwB1m8,The medical test paradox (well &quot;paradox&quot;),2024-01-15 07:00:30+00:00,10995312,3076
w-CXIqIjfRI,Three levels of understanding Bayes&#39; theorem,2024-01-17 07:00:31+00:00,120242,21
-3jPW_TGATI,"Ellipses have multiple definitions, how are these the same?",2024-01-19 19:00:00+00:00,61328,21
-ikRg-OfFHc,A challenging puzzle about subset sums,2024-01-22 06:00:00+00:00,966046,234
81QNyDnYtg0,Simulating the electric field and a moving charge,2024-01-26 06:00:04+00:00,1258765,459
wjZofJX0v4M,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",2024-04-01 19:13:57+00:00,9877664,3979
eMlx5fFNoYc,"Attention in transformers, step-by-step | Deep Learning Chapter 6",2024-04-07 12:53:54+00:00,3948446,2303
FJtFZwbvkI4,How word vectors encode meaning,2024-04-11 16:23:26+00:00,3348125,1358
XsLK3tPy9SI,Temperature in LLMs,2024-04-28 15:22:38+00:00,358286,140
W3I3kAg2J7w,What &quot;Follow Your Dreams&quot; Misses | Harvey Mudd Commencement Speech 2024,2024-05-18 14:50:47+00:00,1474560,1652
rjVY7HXN6qA,In the vector space of all advice...,2024-05-22 17:56:07+00:00,358084,138
9-Jl0dxWQs8,How might LLMs store facts | Deep Learning Chapter 7,2024-08-31 12:11:19+00:00,2005987,1391
EmKQsSDlaa4,How are holograms possible?,2024-10-05 15:31:58+00:00,6590623,5407
DnjATyPuFFk,Holograms are wild (full video linked above),2024-10-05 15:35:00+00:00,2015200,849
W3-kpRz-e1Q,Hologram preview,2024-10-11 14:00:27+00:00,64283,47
rbu7Zu5X1zI,How I animate 3Blue1Brown | A Manim demo with Ben Sparks,2024-10-12 13:00:39+00:00,2983874,2278
KHEtJUlpqcg,LLMs are next-word predictors,2024-11-04 15:24:37+00:00,201983,134
piJkuavhV50,Five puzzles for thinking outside the box,2024-11-08 13:34:50+00:00,1656610,2454
Pny70rNPJLk,A bizarre probability fact,2024-11-12 23:09:05+00:00,1984404,1180
0W243LGSJFU,The twirling tiles puzzle,2024-11-13 18:01:06+00:00,256270,104
JNVZK4ofW-Y,The Triangle Of Power,2024-11-15 15:58:23+00:00,532752,676
LOulCFdVOGY,Newton’s Fractal is beautiful,2024-11-16 16:53:52+00:00,203964,123
EPDZTLavmcg,Sphere surface area proof sketch,2024-11-17 16:00:10+00:00,1507215,437
nAT-MCsJeik,This puzzle is trickier than it seems,2024-11-19 19:06:45+00:00,1334780,691
LPZh9BOjkQs,Large Language Models explained briefly,2024-11-20 15:07:15+00:00,5864960,2318
qSn8dVI9V5I,The scale of training LLMs,2024-11-20 15:07:29+00:00,570564,576
y9BK--OxZpY,The meaning within the Mandelbrot set,2024-11-24 17:00:57+00:00,962401,404
IQqtsm-bBRU,This open problem taught me what topology is,2024-12-24 17:50:32+00:00,2198372,2335
LuVUnd0C07U,The inscribed square problem,2024-12-24 18:46:12+00:00,4413895,998
DgMhayP2NPU,Thinking through double slits,2024-12-26 16:48:04+00:00,598961,321
zxOK2vKVfQM,Monge&#39;s Theorem,2024-12-29 16:00:54+00:00,2364353,501
0TdBP9m4R74,The barber pole optical mystery,2025-01-06 15:37:38+00:00,896995,538
K-pGGb0f3tc,The topology of two-note chords,2025-01-30 15:00:25+00:00,1359639,689
uT4-WVa-YfU,Measuring the earth with Terence Tao,2025-02-08 13:35:06+00:00,657641,546
YdOXS_9_P4U,Terence Tao on the cosmic distance ladder,2025-02-08 13:35:15+00:00,4938428,4115
9s0srZneJ38,How Earth&#39;s size was computed by Eratosthenes,2025-02-12 15:00:17+00:00,280800,278
hFMaT9oRbs4,Terence Tao continuing history’s cleverest cosmological measurements,2025-02-23 14:54:42+00:00,1471724,1990
drmphB3rdHY,How Aristarchus deduced the distance to the moon,2025-02-25 15:00:57+00:00,135631,112
gzbFNnTCkqQ,How to estimate the distance to the sun,2025-02-26 15:01:03+00:00,1394254,996
YP1mMXRCnaI,Why the ancient Greeks rejected heliocentrism,2025-02-27 15:00:48+00:00,1316318,1933
TZAC0WFemvE,When being beautifully wrong leads to discovery,2025-02-28 15:00:44+00:00,2376165,770
6dTyOl1fmDo,Why colliding blocks compute pi,2025-03-13 15:36:52+00:00,5563458,2993
C8baNzpnZ7o,Zooming out by powers of 10,2025-03-26 18:37:29+00:00,2672320,2157
mHya9J9pkq4,The tragic tale of Guillaume Le Gentil,2025-03-27 16:01:04+00:00,290977,199
M6LUPYsjods,Measuring the speed of light using Jupiter&#39;s moons,2025-04-07 15:57:13+00:00,2306603,925
aw-8BhCilj0,Measuring the distance to Venus without radar,2025-04-08 13:45:00+00:00,413795,241
aQwEJKWATlE,How to measure nearby galaxies,2025-04-20 19:36:10+00:00,182105,53
XX8mjBXBqz8,Testing your intuition for quantum computing,2025-04-30 12:32:13+00:00,1403408,429
RQWpF2Gb-gU,But what is quantum computing?  (Grover&#39;s Algorithm),2025-04-30 12:32:19+00:00,3323759,3579
Dlsa9EBKDGI,Where my explanation of Grover’s algorithm failed,2025-05-04 11:45:24+00:00,631901,1935
iv-5mZ_9CPY,But how do AI images and videos actually work? | Guest video by Welch Labs,2025-07-25 12:14:11+00:00,1781564,1903
4NlrfOl0l8U,The AI that solved IMO Geometry Problems | Guest video by @Aleph0,2025-08-17 13:02:50+00:00,394181,971
j5h9dBtWZXM,How AI connects text and images,2025-08-21 18:24:11+00:00,108860,42
itRV2jEtV8Q,Simulating and understanding phase change | Guest video by Vilas Winstein,2025-08-28 14:00:47+00:00,436378,554
_BrFKp-U8GI,Exploration &amp; Epiphany | Guest video by Paul Dancstep,2025-09-07 12:25:03+00:00,485511,1026
1lZpowy21Gc,Incomplete open cubes,2025-09-07 12:25:58+00:00,239498,94
M-MgQC6z3VU,What was Euclid really doing? | Guest video by Ben Syversen,2025-09-18 14:13:05+00:00,726939,1374
-j8PzkZ70Lg,The Physics of Euler&#39;s Formula | Laplace Transform Prelude,2025-10-05 13:53:28+00:00,960835,1307
j0wJBEZdwLs,But what is a Laplace Transform?,2025-10-12 11:19:53+00:00,1458745,1657
bnjKwiUg-kw,The dynamics of e^(πi),2025-10-12 12:40:46+00:00,1221628,483
FE-hM1kRK4Y,Why Laplace transforms are so useful,2025-11-05 13:09:45+00:00,689000,871
t3jZ2xGOvYg,The ladybug clock puzzle,2026-01-16 14:16:12+00:00,735499,1174
BHdbsHFs2P0,The Hairy Ball Theorem,2026-01-31 14:57:42+00:00,2599415,3566
7gG91SZwBoE,Solution to the ladybug clock puzzle,2026-02-16 14:08:37+00:00,977644,547
d0ai33oqqDE,The lattice bacteria puzzle,2026-02-18 06:02:59+00:00,809906,861
fsLh-NYhOoU,The most beautiful formula not enough people understand,2026-02-27 15:14:23+00:00,976007,2175
Qoes9bTJtn0,Bacteria Grid Puzzle Solution,2026-03-21 11:42:53+00:00,980212,454
ldxFjLJ3rVY,How (and why) to take a logarithm of an image,2026-03-22 12:59:00+00:00,1537770,3166
4h5BEALuh44,The subset sum puzzle,2026-03-25 20:59:04+00:00,313184,625
Y7ImxZ_YhJk,Escher&#39;s most mind-bending piece,2026-03-27 20:56:02+00:00,288737,71
